,0
0,Anônimo
1,Marc Ferrez
2,Georges Leuzinger
3,
4,José dos Santos Affonso
5,Augusto Malta
6,N. Viggiani
7,Archanjo Sobrinho
8,J. Faria de Azevedo
9,F. Basto
10,Bloch
11,A. de Barros Lobo
12,Antenor Sobrosa
13,F. Garcia
14,J. Teixeira
15,Chapelin
16,José Francisco Corrêa
17,Etienne Farnier
18,Antonio Luiz Ferreira
19,F. Manzière
20,Juan Gutierrez
21,Revert Henrique Klumb
22,Thiele
23,Carlos Bippus
24,A. Ribeiro
25,Luiz Musso
26,Augusto Stahl
27,Theodor Preising
28,Torres
29,Therezio Mascarenhas
30,Moritz Lamberg
31,Alfredo Krausz
32,José Baptista Barreira Vianna
33,Albert Frisch
34,Guilherme Santos
35,Paulo Scheuenstuhl
36,A. Ruelle
37,Gomes Junior
38,Stahl & Wahnschaffe
39,Braz
40,Armando Pittigliani
41,Fritz Büsch
42,Camillo Vedani
43,Jorge Kfuri
44,Felipe Augusto Fidanza
45,Augusto Monteiro
46,S. H. Holland
